id,loc1,datetime1,loc2,datetime2,stops,distance,details,price,hot deal
12725004," Atlanta, GA"," Jan 17, 07:00 AM  -  02:45 PM EDT "," Midland, NC "," Jan 18, 07:00 AM  -  02:00 PM EDT ",,deadhead - distance279 mi, live Flatbed or Step Deck46496 LB Building Mater..., $867.20 ,no
12723810," Ashtabula, OH"," Jan 17, 07:00 AM  -  05:00 PM EDT "," Tooele, UT "," Jan 20, 02:00 PM MDT",,deadhead - distance1795.6 mi, live Van - 53 Feet43000 LB Non Haz Chemic...," $5,096.00 ",no
12719161," Breinigsville, PA"," Jan 17, 07:00 AM EDT"," Dover, DE "," Jan 17, 01:00 PM EDT",,deadhead - distance118 mi, live Van - 53 Feet9630 LB Consumer Goods,bid only,no
12711928," Elk Grove Village, IL"," Jan 17, 06:00 AM  -  09:00 PM CDT "," Clarksville, AR "," Jan 18, 03:45 PM CDT",,deadhead - distance664.3 mi, live Van - 53 Feet30147 LB Consumer Goods," $1,750.43 ",no
12701686," South Bend, IN"," Jan 17, 07:00 AM  -  02:00 PM EDT "," Atlanta, GA "," Jan 18, 07:00 AM  -  03:00 PM EDT ",,deadhead - distance651 mi, live Flatbed - 4844000 LB Building Mater...," $1,764.60 ",no
12688479," Columbus, MS"," Jan 17, 07:00 AM  -  03:30 PM CDT "," Moultrie, GA "," Jan 18, 07:00 AM EDT",,deadhead - distance378.9 mi, live Flatbed44240 LB Pallets," $1,048.86 ",no
12658602," Clarion, IA"," Jan 17, 07:00 AM  -  03:00 PM CDT "," Greencastle, PA "," Jan 19, 08:00 AM EDT",,deadhead - distance998.8 mi, live Van43985 LB Freight Of All...," $2,402.06 ",no
12658583," Clarion, IA"," Jan 17, 07:00 AM  -  03:00 PM CDT "," Greencastle, PA "," Jan 19, 08:00 AM EDT",,deadhead - distance998.8 mi, live Van43985 LB Freight Of All...," $2,402.06 ",no
12715040," Sioux City, IA"," Jan 17, 06:30 AM  -  07:00 PM CDT "," Austell, GA "," Jan 20, 12:30 AM EDT",,deadhead - distance1074 mi, live Reefer - 5334160 LB Food Stuffs," $3,124.49 ",no
12745068," Cincinnati, OH"," Jan 17, 07:00 AM  -  04:00 PM EDT "," Garland, TX "," Jan 19, 07:00 AM  -  01:00 PM CDT ",,deadhead - distance942 mi, live Van - 53 Feet40300 LB Packaging Mate...," $1,857.26 ",no
12744292," Plymouth, MI"," Jan 17, 08:00 AM  -  01:30 PM CDT "," Edinburgh, IN "," Jan 18, 08:00 AM  -  08:00 PM EDT ", 3 STOPS ,deadhead - distance328.5 mi, live Van - 53 Feet30000 LB Packaging Mate...,quick bid,no
12743944," Goshen, IN"," Jan 17, 08:00 AM  -  04:00 PM EDT "," Lake Wales, FL "," Jan 19, 08:00 AM  -  03:00 PM EDT ",,deadhead - distance1108.6 mi, live Van15192 LB Plastic Paper," $3,036.97 ",no
12743768," Queensbury, NY"," Jan 17, 08:00 AM  -  03:30 PM EDT "," Atlanta, GA "," Jan 19, 07:00 AM  -  11:00 AM EDT ",,deadhead - distance1065.2 mi, live Van - 53 Feet12000 LB Medical Suppli...," $1,806.04 ",no
12743714," Totowa, NJ"," Jan 17, 08:00 AM  -  04:00 PM EDT "," Republic, MO "," Jan 20, 01:00 AM  -  01:00 AM CDT ",,deadhead - distance1163 mi, live Van20300 LB Food Stuffs," $2,205.00 ",no
12743671," Moultrie, GA"," Jan 17, 08:00 AM  -  03:00 PM EDT "," Valdosta, GA "," Jan 18, 08:00 AM  -  08:00 AM EDT ",,deadhead - distance44.1 mi, live Van6000 LB Furniture, $288.67 ,no
12743656," Norcross, GA"," Jan 17, 08:00 AM  -  02:00 PM EDT "," Dallas, TX "," Jan 19, 08:00 AM  -  08:00 AM CDT ",,deadhead - distance804.3 mi, live Van or Reefer40070 LB Materials," $1,356.63 ",no
12743592," Winchester, VA"," Jan 17, 08:00 AM  -  03:00 PM EDT "," Rockville Centre, NY "," Jan 18, 08:00 AM  -  02:00 PM EDT ",,deadhead - distance305.3 mi, live Van6225 LB Food Stuffs,quick bid,no
12743488," Albertville, AL"," Jan 17, 08:00 AM  -  02:00 PM CDT "," Joppa, MD "," Jan 19, 08:00 AM  -  05:00 PM EDT ", 7 STOPS ,deadhead - distance1064.6 mi, live Flatbed - 4844013 LB Consumer Goods,quick bid,no
12743113," Neenah, WI"," Jan 17, 07:00 AM  -  04:00 PM CDT "," Chicago, IL "," Jan 18, 06:30 AM  -  09:30 AM CDT ",,deadhead - distance182.6 mi, live Van - 53 Feet7200 LB Totes/drums, $544.14 ,no
12743006," Sylacauga, AL"," Jan 17, 08:00 AM  -  03:00 PM CDT "," Carlisle, PA "," Jan 19, 08:00 AM EDT",,deadhead - distance781 mi, live Van - 53 Feet13221 LB Consumer Goods," $1,380.98 ",no
12742833," Bellevue, OH"," Jan 17, 08:00 AM  -  03:00 PM EDT "," Zeeland, MI "," Jan 17, 08:30 AM  -  Jan 18, 04:00 PM EDT ",,deadhead - distance232.2 mi, live Large Straight6000 LB Plastics, $502.48 ,no
12742747," Oklahoma City, OK"," Jan 17, 07:00 AM  -  02:30 PM CDT "," Forney, TX "," Jan 18, 12:30 PM CDT",,deadhead - distance225.2 mi, live Van44000 LB Recycled Paper,bid only,no
12742726," Burnsville, MS"," Jan 17, 07:00 AM  -  02:00 PM CDT "," WURTLAND, KY "," Jan 18, 08:00 AM  -  03:00 PM EDT ",,deadhead - distance507.7 mi, live Van42000 LB Sheets Of Stee..., $910.23 ,yes
12742054," Grandville, MI"," Jan 17, 08:00 AM  -  05:00 PM EDT "," Saint-Michel, QC "," Jan 18, 08:30 AM  -  08:30 AM EST ",,deadhead - distance699.8 mi, live Van - 53 Feet30000 LB Rolls," $1,507.42 ",no
12741785," Meriden, CT"," Jan 17, 08:00 AM  -  05:00 PM EDT "," Monroe, GA "," Jan 19, 11:30 AM EDT",,deadhead - distance955.1 mi, live Van - 53 Feet40438 LB Consumer Goods," $1,380.12 ",no
12740564 high value load," Columbus, OH"," Jan 17, 08:00 AM EDT"," Marlette, MI "," Jan 17, 02:00 PM  -  06:00 PM EDT ", 1 STOP ,deadhead - distance261 mi, live Reefer - 5343000 LB Non Hazmat Che...," $1,216.72 ",yes
12740017," Stanwood, IA"," Jan 17, 07:00 AM  -  02:00 PM CDT "," Neenah, WI "," Jan 17, 07:30 PM CDT",,deadhead - distance255.6 mi, live Van - 53 Feet44000 LB Sorted Office ...,bid only,no
12739430," Lexington, KY"," Jan 17, 08:00 AM  -  05:00 PM EDT "," Cincinnati, OH "," Jan 18, 02:00 AM EDT",,deadhead - distance92.6 mi, live Van - 53 Feet44000 LB Food Stuffs, $438.89 ,no
12739106," Laredo, TX"," Jan 17, 08:00 AM  -  03:00 PM CDT "," Hialeah, FL "," Jan 20, 09:00 AM EDT",,deadhead - distance1475.6 mi, live Van - 53 Feet31000 LB Building Mater...," $3,293.56 ",no
12738405," Allentown, PA"," Jan 17, 08:00 AM  -  12:30 PM EDT "," Aberdeen, ID "," Jan 20, 08:00 AM  -  04:30 PM MDT ",,deadhead - distance2214.4 mi, live Flatbed - 4810692 LB Palletized Too...," $4,051.26 ",no
12737679," Auburn, NY"," Jan 17, 08:00 AM  -  03:00 PM EDT "," Fredericktown, OH "," Jan 18, 12:00 AM  -  Jan 19, 12:00 AM EDT ",,deadhead - distance401.3 mi, live Van22650 LB Food Stuffs, $583.10 ,no
12737460," Marshfield, WI"," Jan 17, 07:00 AM  -  07:00 PM CDT "," North Platte, NE "," Jan 19, 07:00 AM  -  04:00 PM CDT ",,deadhead - distance781.8 mi, live Van - 53 Feet43500 LB Consumer Goods," $1,946.40 ",yes
12737442 high value load," Winsted, MN"," Jan 17, 07:00 AM  -  07:00 AM CDT "," Zumbrota, MN "," Jan 17, 06:00 PM  -  06:00 PM CDT ", 1 STOP ,deadhead - distance254.6 mi, live Reefer - 5340000 LB Food Stuffs, $735.00 ,no
12737126," Sylvester, GA"," Jan 17, 08:00 AM  -  03:00 PM EDT "," Totowa, NJ "," Jan 19, 08:00 AM  -  04:30 PM EDT ",,deadhead - distance950.9 mi, live Van43500 LB Food Stuffs," $1,813.00 ",no
12737102," Sylvester, GA"," Jan 17, 08:00 AM  -  03:00 PM EDT "," Totowa, NJ "," Jan 19, 08:00 AM  -  04:30 PM EDT ",,deadhead - distance950.9 mi, live Van43500 LB Food Stuffs," $1,813.00 ",no
12736696," Queensbury, NY"," Jan 17, 08:00 AM  -  03:30 PM EDT "," Atlanta, GA "," Jan 19, 07:00 AM  -  11:00 AM EDT ",,deadhead - distance1065.2 mi, live Van - 53 Feet12000 LB Medical Suppli...," $1,806.04 ",no
12736308," Perry, GA"," Jan 17, 08:00 AM  -  04:00 PM EDT "," Londonderry, NH "," Jan 20, 12:01 AM  -  12:00 PM EDT ",,deadhead - distance1184.1 mi, live Van - 53 Feet34248 LB Packaging Mate...," $2,295.73 ",no
12735524," Kansas City, MO"," Jan 17, 07:00 AM  -  10:00 AM CDT "," Springfield, NE "," Jan 17, 09:00 AM  -  01:30 PM CDT ",,deadhead - distance195.6 mi, live Flatbed - 487500 LB Insulation," $1,045.25 ",no
12734574," Fort Collins, CO"," Jan 17, 06:00 AM MDT"," Eugene, OR "," Jan 21, 06:00 AM PDT",,deadhead - distance1181 mi, live Van44220 LB Beer," $2,763.53 ",yes
12732935," Nacogdoches, TX"," Jan 17, 07:00 AM  -  03:30 PM CDT "," Forney, TX "," Jan 18, 06:00 AM CDT",,deadhead - distance157.2 mi, live Van44000 LB Recycled Paper,bid only,no
12732621," Totowa, NJ"," Jan 17, 08:00 AM  -  04:00 PM EDT "," Disputanta, VA "," Jan 18, 05:00 PM  -  05:00 PM EDT ",,deadhead - distance369 mi, live Van11870 LB Food Stuffs, $980.00 ,no
12731131," Scottsboro, AL"," Jan 17, 08:00 AM CDT"," Conley, GA "," Jan 18, 07:00 AM EDT", 1 STOP ,deadhead - distance202.3 mi, live Van - 53 Feet17412 LB Consumer Goods, $897.40 ,no
12728185," Grandville, MI"," Jan 17, 08:00 AM  -  05:00 PM EDT "," Montreal, QC "," Jan 18, 07:00 AM  -  03:00 PM EST ",,deadhead - distance701.5 mi, live Van - 53 Feet30000 LB Rolls," $1,342.84 ",no
12727462," Hopkinsville, KY"," Jan 17, 07:00 AM  -  09:00 AM CDT "," Sioux Falls, SD "," Jan 18, 10:00 AM  -  10:00 AM CDT ",,deadhead - distance841.8 mi, live Van Vented5250 LB New Plastics," $1,771.94 ",yes
12725398," Grand Rapids, MI"," Jan 17, 08:00 AM  -  12:00 PM EDT "," Brampton, ON "," Jan 18, 01:00 PM EST",,deadhead - distance342.5 mi, drop and hook Van - 53 Feet40528 LB Consumer Goods,bid only,no
